Hash,Message,Filename,MI_Change,CC_Change,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
3da6370a654b20cd90cd1bf492cd032c57e177b2,"use defaults better, improve/fix setup.py",bin/ansible,0.0,0,0,0.9999116659164428,0.9311672729668272,Minor,Minor,YES
3da6370a654b20cd90cd1bf492cd032c57e177b2,"use defaults better, improve/fix setup.py",lib/ansible/__init__.py,0.0,0,0,0.9997881650924684,0.6867305300206147,Minor,Major,NO
3da6370a654b20cd90cd1bf492cd032c57e177b2,"use defaults better, improve/fix setup.py",setup.py,0.0,0,2,0.9956399202346802,0.7642078317234667,Minor,Minor,YES
530e54b3e44becd9ad631a6500e4232ccadac1af,Fix multiprocessing pool usage and remove stackoverflow hack,README.md,0.0,0,0,0.9999997615814208,0.9713663442397086,Minor,Minor,YES
530e54b3e44becd9ad631a6500e4232ccadac1af,Fix multiprocessing pool usage and remove stackoverflow hack,bin/ansible-inventory,0.0,0,0,0.5590871572494507,0.0,Major,Major,YES
530e54b3e44becd9ad631a6500e4232ccadac1af,Fix multiprocessing pool usage and remove stackoverflow hack,lib/ansible/__init__.py,0.0,0,0,0.9998366832733154,0.9082747414821548,Minor,Minor,YES
bd37864242907f780162e7af87506a5f450579bc,Comments and fixup on the dark/contacted code,lib/ansible/__init__.py,0.0,0,0,0.9998941421508788,0.8756736479692854,Minor,Minor,YES
2fc109b47a1018e2b50c2a7151d41d38a26dbefd,Credit Tim for last patch.,AUTHORS.md,0.0,0,0,0.9986509680747986,0.7951179177912666,Minor,Minor,YES
43f7dee2471d90e155bd8e0024855b6768e778c7,"Added rough sketch of what I want for playbook support.  Debug heavy at the moment
as I figure out how logging/output might look.  A couple of major TODO features
also listed in the file.",bin/ansible,0.0,0,0,1.0,0.9929921499221114,Minor,Minor,YES
43f7dee2471d90e155bd8e0024855b6768e778c7,"Added rough sketch of what I want for playbook support.  Debug heavy at the moment
as I figure out how logging/output might look.  A couple of major TODO features
also listed in the file.",examples/playbook.yml,0.0,0,0,0.9969587326049804,0.6803357984559112,Minor,Major,NO
43f7dee2471d90e155bd8e0024855b6768e778c7,"Added rough sketch of what I want for playbook support.  Debug heavy at the moment
as I figure out how logging/output might look.  A couple of major TODO features
also listed in the file.",lib/ansible/playbook.py,-91.79354420425844,-6,-74,0.9986579418182372,0.4092356434075415,Minor,Major,NO
4caf9d274bd5b172e42b7be4b6f90818b85755fa,Fix tbielawa email in AUTHORS file,AUTHORS.md,0.0,0,0,0.9998078942298888,0.9506885335787996,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,lib/ansible/playbook.py,0.0,0,0,0.9999998807907104,1.0,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,lib/ansible/runner.py,0.0,0,0,0.9999513030052184,0.9846065822368292,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,library/command,0.0,0,0,0.999518871307373,1.0,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,library/copy,0.0,0,0,0.9998571872711182,1.0,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,library/ohai,0.0,0,0,0.999912977218628,1.0,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,library/ping,0.0,0,0,0.9957423210144044,1.0,Minor,Minor,YES
b44ae0af90cf920212ee49bd11a5ec83dd681c74,applying indentation patch from skvidal,library/template,0.0,0,0,0.9996678829193116,1.0,Minor,Minor,YES
d308254eaeefd86c494cc322459af131aa5428a7,"A basic service module with 'ensure' idempotence semantics.  Playbook updated to use service
module vs command module for restarting.  May be some bugs and requires the service to implement 'status' -- and probably some better error handling (i.e. return JSON with ""failed"" element if failed).

Improvements welcome.",examples/playbook.yml,0.0,0,0,0.9998252987861632,0.9369950402542914,Minor,Minor,YES
